PowerfulJRE,https://www.youtube.com/feeds/videos.xml?channel_id=UCzQUP1qoWDoEbmsQxvdjxgQ
The Rageaholic,https://www.youtube.com/feeds/videos.xml?channel_id=UCQeWZ0ninG-2pzlaenh2ECw
Bryan Lunduke,https://www.youtube.com/feeds/videos.xml?channel_id=UCkK9UDm_ZNrq_rIXCz3xCGA
Paul Joseph Watson,https://www.youtube.com/feeds/videos.xml?channel_id=UCittVh8imKanO_5KohzDbpg
Technology Connections,https://www.youtube.com/feeds/videos.xml?channel_id=UCy0tKL1T7wFoYcxCe0xjN6Q
Roaming Millennial,https://www.youtube.com/feeds/videos.xml?channel_id=UCLUrVTVTA3PnUFpYvpfMcpg
cosmiceon,https://www.youtube.com/feeds/videos.xml?channel_id=UCye3IPtLiHi2YKLEb-nl6tw
Youtube Saints,https://www.youtube.com/feeds/videos.xml?channel_id=UC8NKgGXoeaSdFKkkE33FMhQ
EWNetwork,https://www.youtube.com/feeds/videos.xml?channel_id=UCh0SxnImUvpWs_ZfEoyhkMA
Kubera,https://www.youtube.com/feeds/videos.xml?channel_id=UCNn9181Du0SOhEtfy7tXmIA
Count Dankula,https://www.youtube.com/feeds/videos.xml?channel_id=UC7SeFWZYFmsm1tqWxfuOTPQ
AVI LSD,https://www.youtube.com/feeds/videos.xml?channel_id=UCQBmHPn9xj44J0LUBRAv5Uw
SyeTen,https://www.youtube.com/feeds/videos.xml?channel_id=UC4fYb-ziHaNtbd0NKo-0q7A
Kraut and Tea,https://www.youtube.com/feeds/videos.xml?channel_id=UCr_Q-bPpcw5fJ-Oow1BW1NQ
Center of Enrichment and Diversity in Geek culture,https://www.youtube.com/feeds/videos.xml?channel_id=UCPOtvnTOJVuqf6U0x5DKWcA
SpaceX,https://www.youtube.com/feeds/videos.xml?channel_id=UCtI0Hodo5o5dUb67FeUjDeA
Gary Edwards,https://www.youtube.com/feeds/videos.xml?channel_id=UCrnYMlsoyNeXuYNNh6xkv3Q
Dr. Laymeme,https://www.youtube.com/feeds/videos.xml?channel_id=UCi7mcbuWRVzJQwAaT4U5K0g
Murdoch Murdoch,https://www.youtube.com/feeds/videos.xml?channel_id=UCjqVanJab9rt5BBBK0iEfyw
Internet Historian,https://www.youtube.com/feeds/videos.xml?channel_id=UCR1D15p_vdP3HkrH8wgjQRw
Tim Pool,https://www.youtube.com/feeds/videos.xml?channel_id=UCG749Dj4V2fKa143f8sE60Q
Jeff Holiday,https://www.youtube.com/feeds/videos.xml?channel_id=UCAldq8BAAGdsX9UyK_09-ZA
Rebel Edge,https://www.youtube.com/feeds/videos.xml?channel_id=UCOZN0I173I_3aIDrPw0Irmw
Naked Ape,https://www.youtube.com/feeds/videos.xml?channel_id=UCMOaRU-YsXVgU-WahBkZqWQ
Level1Techs,https://www.youtube.com/feeds/videos.xml?channel_id=UC4w1YQAJMWOz4qtxinq55LQ
Computing Forever,https://www.youtube.com/feeds/videos.xml?channel_id=UCT9D87j5W7PtE7NHOR5DUOQ
UKF Drum & Bass,https://www.youtube.com/feeds/videos.xml?channel_id=UCr8oc-LOaApCXWLjL7vdsgw
The Thinkery,https://www.youtube.com/feeds/videos.xml?channel_id=UCpiCH7qvGVlzMOqy3dncA5Q
Harmful Opinions,https://www.youtube.com/feeds/videos.xml?channel_id=UCzxm7bOKFrTMxCz6e-wPYuQ
Cyber Violence,https://www.youtube.com/feeds/videos.xml?channel_id=UCOkLPly1KM9wKiqJ7_pw40g
PewDiePie,https://www.youtube.com/feeds/videos.xml?channel_id=UC-lHJZR3Gqxm24_Vd_AJ5Yw
Jordan B Peterson,https://www.youtube.com/feeds/videos.xml?channel_id=UCL_f53ZEJxp8TtlOkHwMV9Q
placeboing,https://www.youtube.com/feeds/videos.xml?channel_id=UC9OVdKgPs1_WCIHCGrvXYHA
The New Memedia,https://www.youtube.com/feeds/videos.xml?channel_id=UCg57OqktnnvRc3HRPGnXKTg
Dr. Layman,https://www.youtube.com/feeds/videos.xml?channel_id=UCe9g_wsVXN17qmw8kPk4hRw
appabend,https://www.youtube.com/feeds/videos.xml?channel_id=UCMbn8X55pVwPOwF1oINgDnw
Vee,https://www.youtube.com/feeds/videos.xml?channel_id=UC8RJExf7iNpV6tp6hvNtwww
Bizzare Contact,https://www.youtube.com/feeds/videos.xml?channel_id=UCvk-7UwMg8cQRNQfcCWuoJA
Aleksander Vinter,https://www.youtube.com/feeds/videos.xml?channel_id=UC5ur2L6Zu4oCShmtFw9UTfQ
The Rubin Report,https://www.youtube.com/feeds/videos.xml?channel_id=UCJdKr0Bgd_5saZYqLCa9mng
Sargon of Akkad Livestreams,https://www.youtube.com/feeds/videos.xml?channel_id=UC6cMYsKMx6XicFcFm7mTsmA
Styleus,https://www.youtube.com/feeds/videos.xml?channel_id=UCJJ2Fsc2Rjjy9QyTaU01YPg
Veritasium,https://www.youtube.com/feeds/videos.xml?channel_id=UCHnyfMqiRRG1u-2MsSQLbXA
StevenCrowder,https://www.youtube.com/feeds/videos.xml?channel_id=UCIveFvW-ARp_B_RckhweNJw
MILO,https://www.youtube.com/feeds/videos.xml?channel_id=UC0aVoboXBUx2-tVIWHc3W2Q
Mister Metokur,https://www.youtube.com/feeds/videos.xml?channel_id=UCfYbb7nga6-icsFWWgS-kWw
Level1Linux,https://www.youtube.com/feeds/videos.xml?channel_id=UCOWcZ6Wicl-1N34H0zZe38w
S3RL,https://www.youtube.com/feeds/videos.xml?channel_id=UCb6JTMjrHZCYFD9Y04CBk9g
Global Army Music,https://www.youtube.com/feeds/videos.xml?channel_id=UCTKWWQgGewkm57epqmEqZxg
That Guy With A Voice,https://www.youtube.com/feeds/videos.xml?channel_id=UCmNUxiDqaDjnF3v9RXSTyUA
Sargon of Akkad,https://www.youtube.com/feeds/videos.xml?channel_id=UC-yewGHQbNFpDrGM0diZOLA
Flashgitz,https://www.youtube.com/feeds/videos.xml?channel_id=UCNnKprAG-MWLsk-GsbsC2BA
SynÎµrgy,https://www.youtube.com/feeds/videos.xml?channel_id=UCrbRMQk4-CnFZLmLuz0KyHQ
colinfurze,https://www.youtube.com/feeds/videos.xml?channel_id=UCp68_FLety0O-n9QU6phsgw
EuphoricHardStyleZ,https://www.youtube.com/feeds/videos.xml?channel_id=UC6murUWtqOwnTL68pwjoGjQ
Computerphile,https://www.youtube.com/feeds/videos.xml?channel_id=UC9-y-6csu5WGm29I7JiwpnA
Diversity,https://www.youtube.com/feeds/videos.xml?channel_id=UC7tD6Ifrwbiy-BoaAHEinmQ
YourMovieSucksDOTorg,https://www.youtube.com/feeds/videos.xml?channel_id=UCSc16oMxxlcJSb9SXkjwMjA
BLiSS,https://www.youtube.com/feeds/videos.xml?channel_id=UCYmflaVaYnvvRz5n-Gtm8lA
Numberphile,https://www.youtube.com/feeds/videos.xml?channel_id=UCoxcjq-8xIDTYp3uz647V5A
blacksunempire,https://www.youtube.com/feeds/videos.xml?channel_id=UCSFcJNJ2dhh_ICrjDoko4MA
Pat Condell,https://www.youtube.com/feeds/videos.xml?channel_id=UCWOkEnBl5TO4SCLfSlosjgg
Jaltoid,https://www.youtube.com/feeds/videos.xml?channel_id=UC5Byb3kyBo6lVmUw8jWi5aA
Bosko (psy),https://www.youtube.com/feeds/videos.xml?channel_id=UC2Rs543UI3AjtdEFImGRHFw
waylandweston,https://www.youtube.com/feeds/videos.xml?channel_id=UC1sjOYVtqPu0JvZV4tdksWQ
askreality,https://www.youtube.com/feeds/videos.xml?channel_id=UCnpQembjjU-_-liYG1kELDg
Blastoyz,https://www.youtube.com/feeds/videos.xml?channel_id=UC5uuPC--CLX5oirmcxAjQfw
MysticalComplex,https://www.youtube.com/feeds/videos.xml?channel_id=UC8f4qIxMSqE8mcAi6AbTRGA
NonStampChannel2,https://www.youtube.com/feeds/videos.xml?channel_id=UCW8seMpWQsJWMIE8muTlTKQ
Antraxxxxxxxxxxx,https://www.youtube.com/feeds/videos.xml?channel_id=UCyP0oOzF2F34vZByVqHEPRQ
Hak5,https://www.youtube.com/feeds/videos.xml?channel_id=UCa_0QSatLyDaz0GpVnxBDpg
SoloSoundMusic,https://www.youtube.com/feeds/videos.xml?channel_id=UCHK_Qn8V7oAAR29wn80xukg
DJSkaziOfficial,https://www.youtube.com/feeds/videos.xml?channel_id=UCcc4iyzuIRnrv4CgSU6AoKQ
NiknJaps,https://www.youtube.com/feeds/videos.xml?channel_id=UCqr-wtXh4Q-8iq3gClsfWyg
Psycowwp,https://www.youtube.com/feeds/videos.xml?channel_id=UCqQ16MTKLuCCi_eKvQ34POQ
Skrillex,https://www.youtube.com/feeds/videos.xml?channel_id=UC_TVqp_SyG6j5hG-xVRy95A
Nixie Pixel,https://www.youtube.com/feeds/videos.xml?channel_id=UCBE-FO9JUOghSysV9gjTeHw
Neural Knight,https://www.youtube.com/feeds/videos.xml?channel_id=UCuRxsuXV29yHaDIuBzT5Yig
NonStampCollector,https://www.youtube.com/feeds/videos.xml?channel_id=UCDyWzuw_u0TBnRaoAcVg0jw
pr3ttykitty1337,https://www.youtube.com/feeds/videos.xml?channel_id=UCgXOG0M1_Le34RYNUCOcU4A
AngieAntiTheist,https://www.youtube.com/feeds/videos.xml?channel_id=UCdzzs3F28piLgsNBN_iYxwQ
GenuineBolino,https://www.youtube.com/feeds/videos.xml?channel_id=UCPJQ1ZQlD_IFq-GIvyXSdKA
chuckdeez1000sos,https://www.youtube.com/feeds/videos.xml?channel_id=UCYrp3VQlRN_Vo7BMEaWjXQw
chuccdeezsos2,https://www.youtube.com/feeds/videos.xml?channel_id=UC9agXTm59Pv9jRWtRI44jqg
THEJustinBieberNAZIS,https://www.youtube.com/feeds/videos.xml?channel_id=UCwBppxYojyeSwWWNKspL-2Q
xXCrazyDJ,https://www.youtube.com/feeds/videos.xml?channel_id=UCQFhtrJ_eyAJmyGXAa84DYg
Ben Hall,https://www.youtube.com/feeds/videos.xml?channel_id=UCNN-QGDecP7vGT-S-WFyj_A
VenomFanqX,https://www.youtube.com/feeds/videos.xml?channel_id=UCK7td7oXiNM0FFSmeFLelrg
TrisLaw,https://www.youtube.com/feeds/videos.xml?channel_id=UCARWrzS3i9eDOFA40drT2ng
Musicmaker805,https://www.youtube.com/feeds/videos.xml?channel_id=UC3YvMJMYrbAbTWm57S1sbkw
TheTechnoLord,https://www.youtube.com/feeds/videos.xml?channel_id=UCFQWsNYgweveKZo1n8ERdkg
GGB Productions,https://www.youtube.com/feeds/videos.xml?channel_id=UCGrbuE9usz-d5-ZFqmvHKlw
kpjxR,https://www.youtube.com/feeds/videos.xml?channel_id=UCnxWwOl_qpskQql138LQO7A
XENTIX media,https://www.youtube.com/feeds/videos.xml?channel_id=UCF4DOiXNH0QeSlvxfPMAYYA
CSSFlexXx,https://www.youtube.com/feeds/videos.xml?channel_id=UCYZfllaLr2ktAb2K14sTNhw
soyo1024,https://www.youtube.com/feeds/videos.xml?channel_id=UCt-DGkPdUCZ_9Wt-F6-_P0A
frysmaktoff,https://www.youtube.com/feeds/videos.xml?channel_id=UC-76XTCnEidazO-8gVCZuAw
katiethesinger123,https://www.youtube.com/feeds/videos.xml?channel_id=UCyP1RJeVTp5aRBSalVuKEvg
Cristina Rad,https://www.youtube.com/feeds/videos.xml?channel_id=UCupX3k88Z1cRYCDuCPrmxlg
poker4me,https://www.youtube.com/feeds/videos.xml?channel_id=UCN_irA9xcL0svLF3xpQrH-Q
Zakuro111,https://www.youtube.com/feeds/videos.xml?channel_id=UCCmWH1ZTjHk-xiA36SwYlTg
TheFailStation,https://www.youtube.com/feeds/videos.xml?channel_id=UCQsGv4O7QmA0zTFq4A0xT6A
